,player,team,against,reg_szn,home,win,played,min,sec,fgm,fga,3pm,3pa,ftm,fta,pts,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus
0,D'Angelo Russell,LAL,DEN,True,False,False,Played,36,11,4,12,2,5,1,2,11,0,4,4,7,1,0,3,3,+1
1,Anthony Davis,LAL,DEN,True,False,False,Played,34,9,6,17,1,2,4,4,17,1,7,8,4,0,2,2,3,-17
2,Austin Reaves,LAL,DEN,True,False,False,Played,31,20,4,11,1,2,5,7,14,4,4,8,4,2,0,2,2,-14
3,Taurean Prince,LAL,DEN,True,False,False,Played,29,53,6,8,4,6,2,2,18,1,2,3,1,0,1,1,0,-14
4,LeBron James,LAL,DEN,True,False,False,Played,29,0,10,16,1,4,0,1,21,1,7,8,5,1,0,0,1,+7
5,Gabe Vincent,LAL,DEN,True,False,False,Played,22,18,3,8,0,4,0,0,6,1,0,1,2,1,0,2,3,-17
6,Cam Reddish,LAL,DEN,True,False,False,Played,17,38,2,4,1,2,2,2,7,2,2,4,0,0,1,0,2,+7
7,Christian Wood,LAL,DEN,True,False,False,Played,15,28,3,4,0,1,1,2,7,1,3,4,0,0,0,1,1,+2
8,Rui Hachimura,LAL,DEN,True,False,False,Played,14,39,3,10,0,3,0,0,6,2,1,3,0,0,0,0,2,-8
9,Jaxson Hayes,LAL,DEN,True,False,False,Played,6,54,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,-7
10,Max Christie,LAL,DEN,True,False,False,Played,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Maxwell Lewis,LAL,DEN,True,False,False,Played,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Nikola Jokic,DEN,LAL,True,True,True,Played,36,16,12,22,3,5,2,4,29,3,10,13,11,1,1,2,2,+15
1,Kentavious Caldwell-Pope,DEN,LAL,True,True,True,Played,36,15,8,12,2,3,2,2,20,1,1,2,1,3,1,3,5,+10
2,Aaron Gordon,DEN,LAL,True,True,True,Played,34,59,7,11,1,2,0,0,15,2,5,7,5,2,1,0,0,+6
3,Jamal Murray,DEN,LAL,True,True,True,Played,34,15,8,13,3,5,2,2,21,0,2,2,6,0,1,1,3,+3
4,Michael Porter Jr.,DEN,LAL,True,True,True,Played,30,8,5,13,2,9,0,0,12,2,10,12,2,2,0,0,1,+12
5,Reggie Jackson,DEN,LAL,True,True,True,Played,24,4,3,8,2,5,0,0,8,0,3,3,1,1,0,2,0,+11
6,Christian Braun,DEN,LAL,True,True,True,Played,19,20,2,5,0,1,1,2,5,1,2,3,2,0,1,1,1,+5
7,Zeke Nnaji,DEN,LAL,True,True,True,Played,11,44,1,3,0,1,2,2,4,0,0,0,1,0,0,1,2,-3
8,Peyton Watson,DEN,LAL,True,True,True,Played,10,50,1,3,1,3,0,0,3,0,0,0,0,0,1,1,1,+1
9,Jalen Pickett,DEN,LAL,True,True,True,Played,0,43,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
10,Collin Gillespie,DEN,LAL,True,True,True,Played,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Braxton Key,DEN,LAL,True,True,True,Played,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
