event_type,event,team,quarter,time_left_quarter,home_score,away_score,player,assist_by,shot_type,shot_distance,dreb,oreb,tov,tov_how,stl_by,foul,foul_type,block_by,foul_by,sub_in,violation_type,free_throw_type,ftm,fta,date,X2fgm,X2fga,X3fgm,X3fga,ast,blk,stl
unknowntype1,Jump ball: A. Davis vs. N. Jokić (L. James gains possession),LAL,1,12:00.0,,,,,,NA,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_made,,LAL,1,11:42.0,0,2,A. Davis,D. Russell,dunk,1,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,1,1,0,0,1,0,0
shot_made,,DEN,1,11:15.0,2,2,N. Jokić,J. Murray,jump shot,7,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,1,1,0,0,1,0,0
shot_made,,LAL,1,10:57.0,2,5,T. Prince,L. James,jump shot,24,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,0,1,1,1,0,0
shot_made,,DEN,1,10:40.0,4,5,J. Murray,,layup,6,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,1,1,0,0,0,0,0
shot_made,,LAL,1,10:33.0,4,8,T. Prince,L. James,jump shot,25,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,0,1,1,1,0,0
shot_made,,DEN,1,10:16.0,7,8,J. Murray,,jump shot,26,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,0,1,1,0,0,0
shot_missed,,LAL,1,10:03.0,7,8,D. Russell,,jump shot,25,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,0,0,1,0,0,0
off_rebound,,LAL,1,10:01.0,7,8,A. Reaves,,,NA,NA,1,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_missed,,LAL,1,09:49.0,7,8,A. Davis,,jump shot,18,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,1,0,0,0,0,0
def_rebound,,DEN,1,09:46.0,7,8,M. Porter,,,NA,1,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_missed,,DEN,1,09:36.0,7,8,N. Jokić,,layup,2,NA,NA,NA,,,0,,A. Davis,,,,,NA,NA,2023-10-24,0,1,0,0,0,1,0
def_rebound,,LAL,1,09:34.0,7,8,L. James,,,NA,1,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_made,,LAL,1,09:30.0,7,10,L. James,,layup,2,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,1,1,0,0,0,0,0
shot_missed,,DEN,1,09:16.0,7,10,N. Jokić,,hook shot,6,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,1,0,0,0,0,0
off_rebound,,DEN,1,09:16.0,7,10,N. Jokić,,,NA,NA,1,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_made,,DEN,1,09:16.0,9,10,N. Jokić,,hook shot,6,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,1,1,0,0,0,0,0
foul,,DEN,1,09:16.0,9,10,N. Jokić,,,NA,NA,NA,NA,,,1,Shooting foul,,A. Davis,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
free_throw_miss,,DEN,1,09:16.0,9,10,N. Jokić,,,NA,NA,NA,NA,,,0,,,,,,,0,1,2023-10-24,NA,NA,NA,NA,0,0,0
def_rebound,,LAL,1,09:14.0,9,10,A. Reaves,,,NA,1,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_missed,,LAL,1,09:02.0,9,10,L. James,,jump shot,23,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,0,0,1,0,0,0
def_rebound,,DEN,1,08:58.0,9,10,A. Gordon,,,NA,1,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_made,,DEN,1,08:54.0,11,10,A. Gordon,,layup,3,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,1,1,0,0,0,0,0
shot_missed,,LAL,1,08:39.0,11,10,A. Reaves,,jump shot,11,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,1,0,0,0,0,0
def_rebound,,DEN,1,08:36.0,11,10,M. Porter,,,NA,1,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_made,,DEN,1,08:30.0,14,10,M. Porter,N. Jokić,jump shot,25,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,0,1,1,1,0,0
shot_missed,,LAL,1,08:14.0,14,10,D. Russell,,layup,4,NA,NA,NA,,,0,,N. Jokić,,,,,NA,NA,2023-10-24,0,1,0,0,0,1,0
def_rebound,,DEN,1,08:13.0,14,10,N. Jokić,,,NA,1,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
turnover,,DEN,1,08:12.0,14,10,N. Jokić,,,NA,NA,NA,1,bad pass,L. James,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,1
shot_missed,,LAL,1,08:07.0,14,10,D. Russell,,jump shot,26,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,0,0,1,0,0,0
def_rebound,,DEN,1,08:05.0,14,10,A. Gordon,,,NA,1,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_made,,DEN,1,07:58.0,16,10,M. Porter,A. Gordon,dunk,1,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,1,1,0,0,1,0,0
foul,,LAL,1,07:44.0,16,10,A. Davis,,,NA,NA,NA,NA,,,1,Shooting foul,,N. Jokić,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
free_throw_made,,LAL,1,07:44.0,16,11,A. Davis,,,NA,NA,NA,NA,,,0,,,,,,,1,1,2023-10-24,NA,NA,NA,NA,0,0,0
free_throw_made,,LAL,1,07:44.0,16,12,A. Davis,,,NA,NA,NA,NA,,,0,,,,,,,1,1,2023-10-24,NA,NA,NA,NA,0,0,0
shot_missed,,DEN,1,07:30.0,16,12,J. Murray,,jump shot,27,NA,NA,NA,,,0,,T. Prince,,,,,NA,NA,2023-10-24,0,0,0,1,0,1,0
off_rebound,,DEN,1,07:29.0,16,12,Team,,,NA,NA,1,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_made,,DEN,1,07:25.0,18,12,K. Caldwell-Pope,A. Gordon,jump shot,16,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,1,1,0,0,1,0,0
shot_made,,LAL,1,07:02.0,18,14,A. Davis,,layup,3,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,1,1,0,0,0,0,0
shot_missed,,DEN,1,06:51.0,18,14,K. Caldwell-Pope,,jump shot,16,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,1,0,0,0,0,0
def_rebound,,LAL,1,06:48.0,18,14,L. James,,,NA,1,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_made,,LAL,1,06:44.0,18,16,L. James,,layup,2,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,1,1,0,0,0,0,0
shot_made,,DEN,1,06:27.0,20,16,N. Jokić,J. Murray,layup,3,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,1,1,0,0,1,0,0
shot_missed,,LAL,1,06:15.0,20,16,A. Davis,,layup,6,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,1,0,0,0,0,0
def_rebound,,DEN,1,06:14.0,20,16,N. Jokić,,,NA,1,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_missed,,DEN,1,06:11.0,20,16,J. Murray,,jump shot,26,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,0,0,1,0,0,0
def_rebound,,LAL,1,06:07.0,20,16,Team,,,NA,1,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
unknowntype1,Denver full timeout,DEN,1,06:07.0,20,16,,,,NA,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
substitution,,LAL,1,06:07.0,20,16,L. James,,,NA,NA,NA,NA,,,0,,,,R. Hachimura,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
substitution,,LAL,1,06:07.0,20,16,D. Russell,,,NA,NA,NA,NA,,,0,,,,G. Vincent,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
substitution,,DEN,1,06:07.0,20,16,J. Murray,,,NA,NA,NA,NA,,,0,,,,R. Jackson,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_missed,,LAL,1,05:53.0,20,16,T. Prince,,jump shot,23,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,0,0,1,0,0,0
def_rebound,,DEN,1,05:50.0,20,16,N. Jokić,,,NA,1,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
turnover,,DEN,1,05:39.0,20,16,K. Caldwell-Pope,,,NA,NA,NA,1,lost ball,A. Reaves,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,1
shot_missed,,LAL,1,05:33.0,20,16,A. Davis,,layup,5,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,1,0,0,0,0,0
off_rebound,,LAL,1,05:32.0,20,16,R. Hachimura,,,NA,NA,1,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_missed,,LAL,1,05:32.0,20,16,R. Hachimura,,jump shot,3,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,1,0,0,0,0,0
def_rebound,,DEN,1,05:29.0,20,16,R. Jackson,,,NA,1,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_missed,,DEN,1,05:26.0,20,16,M. Porter,,jump shot,25,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,0,0,1,0,0,0
off_rebound,,DEN,1,05:22.0,20,16,N. Jokić,,,NA,NA,1,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_made,,DEN,1,05:21.0,22,16,N. Jokić,,hook shot,6,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,1,1,0,0,0,0,0
turnover,,LAL,1,05:03.0,22,16,A. Davis,,,NA,NA,NA,1,bad pass,A. Gordon,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,1
shot_made,,DEN,1,04:47.0,24,16,N. Jokić,A. Gordon,hook shot,6,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,1,1,0,0,1,0,0
turnover,,LAL,1,04:25.0,24,16,A. Davis,,,NA,NA,NA,1,bad pass,A. Gordon,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,1
shot_made,,DEN,1,04:20.0,27,16,K. Caldwell-Pope,A. Gordon,jump shot,23,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,0,1,1,1,0,0
shot_missed,,LAL,1,04:00.0,27,16,A. Davis,,jump shot,17,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,1,0,0,0,0,0
off_rebound,,LAL,1,03:57.0,27,16,T. Prince,,,NA,NA,1,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_missed,,LAL,1,03:53.0,27,16,R. Hachimura,,jump shot,25,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,0,0,1,0,0,0
def_rebound,,DEN,1,03:49.0,27,16,A. Gordon,,,NA,1,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_missed,,DEN,1,03:38.0,27,16,M. Porter,,jump shot,29,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,0,0,1,0,0,0
def_rebound,,LAL,1,03:35.0,27,16,T. Prince,,,NA,1,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
shot_made,,LAL,1,03:26.0,27,18,A. Reaves,,layup,3,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,1,1,0,0,0,0,0
shot_made,,DEN,1,03:11.0,29,18,R. Jackson,N. Jokić,layup,3,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,1,1,0,0,1,0,0
shot_missed,,LAL,1,02:56.0,29,18,A. Reaves,,jump shot,12,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,0,1,0,0,0,0,0
def_rebound,,DEN,1,02:55.0,29,18,M. Porter,,,NA,1,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
turnover,,DEN,1,02:50.0,29,18,R. Jackson,,,NA,NA,NA,1,bad pass,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
unknowntype1,LA Lakers full timeout,LAL,1,02:50.0,29,18,,,,NA,NA,NA,NA,,,0,,,,,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
substitution,,LAL,1,02:50.0,29,18,A. Davis,,,NA,NA,NA,NA,,,0,,,,J. Hayes,,,NA,NA,2023-10-24,NA,NA,NA,NA,0,0,0
